Country Name,Country Code,Indicator Name_x,Year,Inflation,Indicator Name_y,GDP_per_capita,Indicator Name,Exchange_Rate
Belize,BLZ,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",2.0,GDP per capita (constant 2015 US$),6335.67777675053
Bermuda,BMU,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),122143.799577518
Bolivia,BOL,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",8.0660625,GDP per capita (constant 2015 US$),2156.18670325307
Brazil,BRA,"Inflation, consumer prices (annual %)",2005,6.86953720898965,"Official exchange rate (LCU per US$, period average)",2.43439003623188,GDP per capita (constant 2015 US$),7409.56913232718
Barbados,BRB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",2.0,GDP per capita (constant 2015 US$),20004.7667416753
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.6643975,GDP per capita (constant 2015 US$),37312.2777967112
Bhutan,BTN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",44.099975,GDP per capita (constant 2015 US$),1632.02169500573
Botswana,BWA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.11675,GDP per capita (constant 2015 US$),5514.21742664705
Central African Republic,CAF,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),427.968043155237
Canada,CAN,"Inflation, consumer prices (annual %)",2005,2.21355203439768,"Official exchange rate (LCU per US$, period average)",1.21140513416667,GDP per capita (constant 2015 US$),41006.2229523971
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",2005,3.13530102983369,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),9387.57581776009
Switzerland,CHE,"Inflation, consumer prices (annual %)",2005,1.17195420333702,"Official exchange rate (LCU per US$, period average)",1.24517666666667,GDP per capita (constant 2015 US$),76282.9840696619
Channel Islands,CHI,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.549998333333333,GDP per capita (constant 2015 US$),
Chile,CHL,"Inflation, consumer prices (annual %)",2005,3.0525762138785,"Official exchange rate (LCU per US$, period average)",559.7675,GDP per capita (constant 2015 US$),10104.4208391373
China,CHN,"Inflation, consumer prices (annual %)",2005,1.7764140766757,"Official exchange rate (LCU per US$, period average)",8.19431666666667,GDP per capita (constant 2015 US$),3465.81734409951
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",2005,3.88583039886477,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),1431.73320203111
Cameroon,CMR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),1264.74345218659
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",473.908008333333,GDP per capita (constant 2015 US$),338.980980805364
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),2140.03686200251
Colombia,COL,"Inflation, consumer prices (annual %)",2005,5.05101962689696,"Official exchange rate (LCU per US$, period average)",2321.13166666667,GDP per capita (constant 2015 US$),4457.27537460443
Comoros,COM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",395.443771987232,GDP per capita (constant 2015 US$),1044.94496999226
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",88.6461685261408,GDP per capita (constant 2015 US$),2514.16779255327
Costa Rica,CRI,"Inflation, consumer prices (annual %)",2005,13.7982949108987,"Official exchange rate (LCU per US$, period average)",477.786741487455,GDP per capita (constant 2015 US$),8655.33965419113
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",2005,3.6046180511121,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),12497.3875295228
Cuba,CUB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),5182.35283601732
Curacao,CUW,"Inflation, consumer prices (annual %)",2005,4.11711711711711,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),21112.3219220136
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.83333,GDP per capita (constant 2015 US$),
Cyprus,CYP,"Inflation, consumer prices (annual %)",2005,2.56016132330234,"Official exchange rate (LCU per US$, period average)",0.464070507161667,GDP per capita (constant 2015 US$),25631.3671875
Czechia,CZE,"Inflation, consumer prices (annual %)",2005,1.8570978910922,"Official exchange rate (LCU per US$, period average)",23.9574166666667,GDP per capita (constant 2015 US$),15147.7214417611
Germany,DEU,"Inflation, consumer prices (annual %)",2005,1.54691114751329,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),36006.8578127742
Djibouti,DJI,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",177.721,GDP per capita (constant 2015 US$),
Dominica,DMA,"Inflation, consumer prices (annual %)",2005,1.68190079877553,"Official exchange rate (LCU per US$, period average)",2.7,GDP per capita (constant 2015 US$),7381.74728529453
Denmark,DNK,"Inflation, consumer prices (annual %)",2005,1.81781458291254,"Official exchange rate (LCU per US$, period average)",5.99691,GDP per capita (constant 2015 US$),52015.1841169021
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",2005,4.19020260472057,"Official exchange rate (LCU per US$, period average)",30.2828081770082,GDP per capita (constant 2015 US$),4549.24957008857
Algeria,DZA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",73.2763083333333,GDP per capita (constant 2015 US$),4223.60252133943
East Asia & Pacific (excluding high income),EAP,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),3095.23480174477
Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),2434.67072282312
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),6151.46241562103
Europe & Central Asia (excluding high income),ECA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),4255.05385111552
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",2005,2.48769665164088,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),20438.532593463
Ecuador,ECU,"Inflation, consumer prices (annual %)",2005,2.16827701183721,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),4589.32849203452
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.77883333333333,GDP per capita (constant 2015 US$),2635.70305227819
Euro area,EMU,"Inflation, consumer prices (annual %)",2005,2.47212179047864,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),32573.6713955007
Eritrea,ERI,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",15.3679166666667,GDP per capita (constant 2015 US$),809.794793468889
Spain,ESP,"Inflation, consumer prices (annual %)",2005,3.36881409750383,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),26294.447384391
Estonia,EST,"Inflation, consumer prices (annual %)",2005,4.0797142319985,"Official exchange rate (LCU per US$, period average)",12.5837865859395,GDP per capita (constant 2015 US$),14703.6179707772
Ethiopia,ETH,"Inflation, consumer prices (annual %)",2005,9.96997123512892,"Official exchange rate (LCU per US$, period average)",8.66644166666667,GDP per capita (constant 2015 US$),302.475022727211
European Union,EUU,"Inflation, consumer prices (annual %)",2005,2.45654692931639,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),28331.9759556404
Fragile and conflict affected situations,FCS,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1574.44483922903
Finland,FIN,"Inflation, consumer prices (annual %)",2005,0.623874450025191,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),42529.3506920884
Fiji,FJI,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.69104621571552,GDP per capita (constant 2015 US$),4255.45097421846
France,FRA,"Inflation, consumer prices (annual %)",2005,1.74586936380482,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),34946.0372494703
Faroe Islands,FRO,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.99691,GDP per capita (constant 2015 US$),
"Micronesia, Fed. Sts.",FSM,"Inflation, consumer prices (annual %)",2005,4.25769978210942,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),2879.62178695366
Gabon,GAB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),7130.22505771754
United Kingdom,GBR,"Inflation, consumer prices (annual %)",2005,2.0891364902507,"Official exchange rate (LCU per US$, period average)",0.549998333333333,GDP per capita (constant 2015 US$),43023.2277090836
Georgia,GEO,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.812675,GDP per capita (constant 2015 US$),2321.60084285163
Ghana,GHA,"Inflation, consumer prices (annual %)",2005,15.4389920155908,"Official exchange rate (LCU per US$, period average)",0.905209485833333,GDP per capita (constant 2015 US$),1143.31178934301
Gibraltar,GIB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.549998333333333,GDP per capita (constant 2015 US$),
Guinea,GIN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",3644.33333333333,GDP per capita (constant 2015 US$),651.359606871604
"Gambia, The",GMB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",28.5754333333333,GDP per capita (constant 2015 US$),658.676285443081
Guinea-Bissau,GNB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),595.94255560187
Equatorial Guinea,GNQ,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),10212.4545051498
Greece,GRC,"Inflation, consumer prices (annual %)",2005,3.54507273335077,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),21880.5265835801
Grenada,GRD,"Inflation, consumer prices (annual %)",2005,3.475806937554,"Official exchange rate (LCU per US$, period average)",2.7,GDP per capita (constant 2015 US$),8162.91232124727
Greenland,GRL,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.99691,GDP per capita (constant 2015 US$),36681.8055890619
Guatemala,GTM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",7.63394416666667,GDP per capita (constant 2015 US$),3284.8096223167
Guam,GUM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),32520.3729565352
Guyana,GUY,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",199.875,GDP per capita (constant 2015 US$),3867.93308158647
High income,HIC,"Inflation, consumer prices (annual %)",2005,2.60932308197749,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),33090.5639155227
"Hong Kong SAR, China",HKG,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",7.77733333333333,GDP per capita (constant 2015 US$),32401.4023905402
Honduras,HND,"Inflation, consumer prices (annual %)",2005,8.80906074819819,"Official exchange rate (LCU per US$, period average)",18.8323416666667,GDP per capita (constant 2015 US$),1975.85647913236
Heavily indebted poor countries (HIPC),HPC,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),735.980077554583
Croatia,HRV,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.94923691666667,GDP per capita (constant 2015 US$),11522.3950059819
Haiti,HTI,"Inflation, consumer prices (annual %)",2005,13.973008326384,"Official exchange rate (LCU per US$, period average)",40.44855,GDP per capita (constant 2015 US$),1304.33303731231
Hungary,HUN,"Inflation, consumer prices (annual %)",2005,3.56151711378353,"Official exchange rate (LCU per US$, period average)",199.5825,GDP per capita (constant 2015 US$),11272.7345428122
IBRD only,IBD,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),3452.89075349
IDA & IBRD total,IBT,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),2891.50569534706
IDA total,IDA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1040.49445744778
IDA blend,IDB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1501.61168172083
Indonesia,IDN,"Inflation, consumer prices (annual %)",2005,10.4532001873347,"Official exchange rate (LCU per US$, period average)",9704.74166666666,GDP per capita (constant 2015 US$),2155.4478015921
IDA only,IDX,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),792.043503768657
Isle of Man,IMN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.549998333333333,GDP per capita (constant 2015 US$),58201.5990838178
India,IND,"Inflation, consumer prices (annual %)",2005,4.24634362031923,"Official exchange rate (LCU per US$, period average)",44.099975,GDP per capita (constant 2015 US$),947.732565646672
Not classified,INX,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),
Ireland,IRL,"Inflation, consumer prices (annual %)",2005,2.45654692931639,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),50599.6044822938
"Iran, Islamic Rep.",IRN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",8963.95890666667,GDP per capita (constant 2015 US$),4650.3584147747
Iraq,IRQ,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1472.0,GDP per capita (constant 2015 US$),3310.86344473993
Iceland,ISL,"Inflation, consumer prices (annual %)",2005,3.98704782806593,"Official exchange rate (LCU per US$, period average)",62.9816666666667,GDP per capita (constant 2015 US$),48850.7658808777
Israel,ISR,"Inflation, consumer prices (annual %)",2005,1.34070328119492,"Official exchange rate (LCU per US$, period average)",4.4877,GDP per capita (constant 2015 US$),29623.7172812577
Italy,ITA,"Inflation, consumer prices (annual %)",2005,1.9852929852798,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),33407.6754716472
Jamaica,JAM,"Inflation, consumer prices (annual %)",2005,15.0528658875905,"Official exchange rate (LCU per US$, period average)",62.2807149440837,GDP per capita (constant 2015 US$),5239.67288765766
Jordan,JOR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.709,GDP per capita (constant 2015 US$),4151.61313015439
Japan,JPN,"Inflation, consumer prices (annual %)",2005,-0.282946068764429,"Official exchange rate (LCU per US$, period average)",110.218211666667,GDP per capita (constant 2015 US$),33098.5474664881
Kazakhstan,KAZ,"Inflation, consumer prices (annual %)",2005,7.57999929125767,"Official exchange rate (LCU per US$, period average)",132.88,GDP per capita (constant 2015 US$),6787.4115548789
Kenya,KEN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",75.5541094514311,GDP per capita (constant 2015 US$),1223.44738472019
Kyrgyz Republic,KGZ,"Inflation, consumer prices (annual %)",2005,4.3386739184431,"Official exchange rate (LCU per US$, period average)",41.0118205059348,GDP per capita (constant 2015 US$),820.709519437592
Cambodia,KHM,"Inflation, consumer prices (annual %)",2005,6.61525912001587,"Official exchange rate (LCU per US$, period average)",4092.5,GDP per capita (constant 2015 US$),866.340290123209
Kiribati,KIR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.30947333333333,GDP per capita (constant 2015 US$),1368.99728765793
St. Kitts and Nevis,KNA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",2.7,GDP per capita (constant 2015 US$),16000.5658929826
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",2005,2.75379162735039,"Official exchange rate (LCU per US$, period average)",1024.32833333333,GDP per capita (constant 2015 US$),21197.1990880347
Kuwait,KWT,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.292,GDP per capita (constant 2015 US$),40451.2552502823
Latin America & Caribbean (excluding high income),LAC,"Inflation, consumer prices (annual %)",2005,4.08912987534747,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),6945.18915892622
Lao PDR,LAO,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",10655.1666666667,GDP per capita (constant 2015 US$),1148.68153852071
Lebanon,LBN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1507.5,GDP per capita (constant 2015 US$),6707.18024635316
Liberia,LBR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",57.0958333333333,GDP per capita (constant 2015 US$),539.665378841936
Libya,LBY,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.30838482391592,GDP per capita (constant 2015 US$),12628.896152656
St. Lucia,LCA,"Inflation, consumer prices (annual %)",2005,3.89827370759476,"Official exchange rate (LCU per US$, period average)",2.7,GDP per capita (constant 2015 US$),9527.58469430542
Latin America & Caribbean,LCN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),7318.93876611781
Least developed countries: UN classification,LDC,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),743.27940447185
Low income,LIC,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),764.063522063222
Liechtenstein,LIE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),
Sri Lanka,LKA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",100.498051666667,GDP per capita (constant 2015 US$),2268.68801270049
Lower middle income,LMC,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1231.17113867485
Low & middle income,LMY,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),2679.56336586683
Lesotho,LSO,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",6.35932833333333,GDP per capita (constant 2015 US$),853.960500629797
Late-demographic dividend,LTE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),4663.32540066646
Lithuania,LTU,"Inflation, consumer prices (annual %)",2005,2.65848484065263,"Official exchange rate (LCU per US$, period average)",2.774025,GDP per capita (constant 2015 US$),9692.86853763267
Luxembourg,LUX,"Inflation, consumer prices (annual %)",2005,2.48769665164088,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),101222.044353044
Latvia,LVA,"Inflation, consumer prices (annual %)",2005,6.74845027893111,"Official exchange rate (LCU per US$, period average)",0.564716666666667,GDP per capita (constant 2015 US$),10106.2626157732
"Macao SAR, China",MAC,"Inflation, consumer prices (annual %)",2005,4.39589284335675,"Official exchange rate (LCU per US$, period average)",8.01106458333333,GDP per capita (constant 2015 US$),49454.3091065459
St. Martin (French part),MAF,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),
Morocco,MAR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",8.86500833333334,GDP per capita (constant 2015 US$),2342.15478515625
Monaco,MCO,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),132253.218402608
Moldova,MDA,"Inflation, consumer prices (annual %)",2005,11.9591837222127,"Official exchange rate (LCU per US$, period average)",12.599625,GDP per capita (constant 2015 US$),1919.44550763748
Madagascar,MDG,"Inflation, consumer prices (annual %)",2005,18.3638246468932,"Official exchange rate (LCU per US$, period average)",2003.02583333333,GDP per capita (constant 2015 US$),450.955230911228
Maldives,MDV,"Inflation, consumer prices (annual %)",2005,1.30027500930996,"Official exchange rate (LCU per US$, period average)",12.8,GDP per capita (constant 2015 US$),7141.88376878034
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),4416.550379948
Mexico,MEX,"Inflation, consumer prices (annual %)",2005,3.98805714597437,"Official exchange rate (LCU per US$, period average)",10.8978916666667,GDP per capita (constant 2015 US$),9491.51730283716
Marshall Islands,MHL,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),3284.78403267445
Middle income,MIC,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),2828.94500281931
North Macedonia,MKD,"Inflation, consumer prices (annual %)",2005,0.525515950714282,"Official exchange rate (LCU per US$, period average)",49.2836833333333,GDP per capita (constant 2015 US$),3657.56307699216
Mali,MLI,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),721.897987084722
Malta,MLT,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.34577739225,GDP per capita (constant 2015 US$),18123.2974963382
Myanmar,MMR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",5.81816666666667,GDP per capita (constant 2015 US$),522.099544784661
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),2562.3369089451
Montenegro,MNE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.803800192161416,GDP per capita (constant 2015 US$),5013.1959009921
Mongolia,MNG,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1205.24666666667,GDP per capita (constant 2015 US$),2060.26168223171
Northern Mariana Islands,MNP,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),21882.2927935415
